Hotel,Cidade,Preço,Checkin,Checkout,Dist_centro,Dist_praia,Avaliacao,Data_extracao
Flat na Praia em HOTEL DE LUXO (1001),Recife,1785,2025-01-22,2025-01-29,4.3,0.15,10.0,2024-5-16
Espaço inteiro a beira mar,Recife,1142,2025-01-22,2025-01-29,7.0,None,None,2024-5-16
Hospede-se próximo ao Aeroporto Internacional dos Guararapes em Recife - Rua Esdras Farias  15B,Recife,536,2025-01-22,2025-01-29,7.0,None,10.0,2024-5-16
Apartamento próximo ao aeroporto e praia,Recife,809,2025-01-22,2025-01-29,9.0,0.9,5.3,2024-5-16
Charmoso e Aconchegante,Recife,1960,2025-01-22,2025-01-29,7.3,0.5,9.5,2024-5-16
Residencial D'itália "Praia de Piedade com garagem",Recife,1363,2025-01-22,2025-01-29,15.6,0.0,8.3,2024-5-16
Eclipse Motel,Recife,774,2025-01-22,2025-01-29,6.5,None,6.1,2024-5-16
boa viagem vista mar,Recife,2450,2025-01-22,2025-01-29,8.7,0.35,9.7,2024-5-16
Paiva home stay,Recife,1339,2025-01-22,2025-01-29,18.9,None,None,2024-5-16
Casa com piscina aconchegante 300 m do mar,Recife,1856,2025-01-22,2025-01-29,12.6,0.4,5.5,2024-5-16
Flat - Boa viagem- Recife - Poucos metros da praia,Recife,1575,2025-01-22,2025-01-29,10.2,0.5,9.5,2024-5-16
Flat no Mercure Navegantes,Recife,1097,2025-01-22,2025-01-29,7.0,None,None,2024-5-16
Flat Beira Mar Beach Class,Recife,2447,2025-01-22,2025-01-29,4.3,0.1,6.0,2024-5-16
Kitnet 1102 - Apartamento para temporada,Recife,1279,2025-01-22,2025-01-29,1.2,None,8.8,2024-5-16
ibis Recife Aeroporto,Recife,2255,2025-01-22,2025-01-29,9.2,1.6,8.3,2024-5-16
RoofTop #601 - Praia de Boa Viagem por Carpediem,Recife,2580,2025-01-22,2025-01-29,6.4,0.55,10.0,2024-5-16
Acero'Lar,Recife,357,2025-01-22,2025-01-29,0.5,2.9,1.0,2024-5-16
Apt 2 quartos com varanda próximo Praça Casa Forte o bairro mais agradável do Recife ARN901,Recife,1757,2025-01-22,2025-01-29,5.2,None,9.3,2024-5-16
Seu lar no melhor de Recife - Boa Viagem.,Recife,1470,2025-01-22,2025-01-29,8.5,1.1,None,2024-5-16
Condomínio Ibiza #703 - Apartamento na Praia de Candeias por Carpediem,Recife,1459,2025-01-22,2025-01-29,15.7,0.15,7.4,2024-5-16
QUARTO ARCO-ÍRES-TRIPLO CONFORTO E PRIVACIDADE- Bairro do Espinheiro -RECIFE- PERNAMBUCO,Recife,1142,2025-01-22,2025-01-29,1.9,None,None,2024-5-16
Hostel Alvorada,Recife,506,2025-01-22,2025-01-29,8.4,None,1.5,2024-5-16
Flat Navegantes Residence - Mar,Recife,2094,2025-01-22,2025-01-29,7.0,0.1,10.0,2024-5-16
Flet boa viagem,Recife,1190,2025-01-22,2025-01-29,9.3,0.1,1.0,2024-5-16
Flat no Coração de Boa Viagem,Recife,1351,2025-01-22,2025-01-29,8.0,1.1,3.0,2024-5-16
Apartamento na melhor localização de Recife,Recife,884,2025-01-22,2025-01-29,3.6,None,4.0,2024-5-16
Flat Radisson Recife,Recife,3822,2025-01-22,2025-01-29,5.7,0.0,9.3,2024-5-16
Cantinho especial de Piedade,Recife,1130,2025-01-22,2025-01-29,15.6,0.95,10.0,2024-5-16
Lindo apartamento em Recife,Recife,1017,2025-01-22,2025-01-29,3.6,None,1.0,2024-5-16
Marbelo Pernambuco Hostel,Recife,1637,2025-01-22,2025-01-29,0.4,2.8,8.5,2024-5-16
Piscina no Rooftop! Exclusivo ''Apartamento Compacto com Design Moderno e Infraestrutura Completa em Boa viagem - Estacionamento e Portaria 24h! Roupas de Cama Toalhas e mimos inclusos!'',Recife,2416,2025-01-22,2025-01-29,6.2,0.8,9.3,2024-5-16
Requinte e sofisticação ao lado Jardim Botânico,Recife,1260,2025-01-22,2025-01-29,10.2,None,7.0,2024-5-16
Apartamento e Suítes Mobiliada Climatizada Campo Grande,Recife,1553,2025-01-22,2025-01-29,2.6,1.4,9.0,2024-5-16
Aconchego e Conveniência - Apartamento para 2pessoas a 2min da Praia de Boa viagem - 1 Quarto com Ar-Condicionado - Wi-Fi e Mobilia COMPLETA '' Localização Privilegiada com Custo-Beneficio Imbatível em Recife!'' -Promoção Exclusiva-,Recife,1687,2025-01-22,2025-01-29,5.8,0.25,8.2,2024-5-16
Beach Class #3506 - Suíte Confortável by Carpediem,Recife,1784,2025-01-22,2025-01-29,1.7,None,8.0,2024-5-16
Kitnet 1 quarto com banheiro carnaval recife  condomínio fechado,Recife,1339,2025-01-22,2025-01-29,6.3,2.7,None,2024-5-16
No coração de Boa Viagem,Recife,2205,2025-01-22,2025-01-29,8.2,0.15,9.3,2024-5-16
Rooftop #401 - Loft em Boa Viagem por Carpediem,Recife,2580,2025-01-22,2025-01-29,6.4,0.55,10.0,2024-5-16
Pousada Praia Boa Viagem,Recife,1663,2025-01-22,2025-01-29,8.5,0.15,8.0,2024-5-16
Flats Mobiliados Zona Norte Casa forte recife Aluguel por temporada Direto com o dono,Recife,1603,2025-01-22,2025-01-29,3.6,None,8.0,2024-5-16
Mercure #508 - Apê em Boa Viagem por Carpediem,Recife,2378,2025-01-22,2025-01-29,7.0,0.1,None,2024-5-16
Pousada Flat Hotel em Casa Forte,Recife,1253,2025-01-22,2025-01-29,4.4,None,8.0,2024-5-16
Excelente localização na zona norte - Sem Taxas,Recife,2100,2025-01-22,2025-01-29,4.2,None,9.5,2024-5-16
Ótima Localização - Zona Norte - SEM TAXAS,Recife,1890,2025-01-22,2025-01-29,2.8,None,8.9,2024-5-16
Studio moderno em Boa viagem -Zona SUL todo mobiliado - SEM TAXAS,Recife,2100,2025-01-22,2025-01-29,7.9,0.9,10.0,2024-5-16
Kitnet com hidromassagem boa viagem,Recife,1151,2025-01-22,2025-01-29,6.1,2.7,3.0,2024-5-16
Rooftop #705 - Suíte em Boa Viagem por Carpediem,Recife,2580,2025-01-22,2025-01-29,6.4,0.55,10.0,2024-5-16
Rooftop #1402 - Studio em Boa Viagem por Carpediem,Recife,2580,2025-01-22,2025-01-29,6.4,0.55,None,2024-5-16
#403 Quádruplo em Boa Viagem por Carpediem,Recife,2580,2025-01-22,2025-01-29,6.4,0.55,9.0,2024-5-16
Flora Pousada,Recife,2035,2025-01-22,2025-01-29,0.45,2.9,None,2024-5-16
Rooftop #1308 - Estúdio em Boa Viagem by Carpediem,Recife,2580,2025-01-22,2025-01-29,6.4,0.55,9.0,2024-5-16
Rooftop #603 - Suíte em Boa Viagem por Carpediem,Recife,2580,2025-01-22,2025-01-29,6.4,0.55,10.0,2024-5-16
Rooftop #1405 - Suíte em Boa Viagem by Carpediem,Recife,2580,2025-01-22,2025-01-29,6.4,0.55,None,2024-5-16
Suíte na beira mar da Praia de Piedade por Carpediem,Recife,1932,2025-01-22,2025-01-29,13.6,0.5,5.0,2024-5-16
Melhor local da zona norte Sem Taxas,Recife,2100,2025-01-22,2025-01-29,3.3,None,9.2,2024-5-16
Rooftop#1101 - Luxo em Boa Viagem por Carpediem,Recife,2580,2025-01-22,2025-01-29,6.4,None,None,2024-5-16
Rooftop #704 - Suíte em Boa Viagem por Carpediem,Recife,2580,2025-01-22,2025-01-29,6.4,0.55,10.0,2024-5-16
Paiva Home Stay - Bugan Paiva by Flatbpaiva,Recife,3825,2025-01-22,2025-01-29,19.6,0.0,8.5,2024-5-16
Rooftop #306 - Suíte em Boa Viagem por Carpediem,Recife,2580,2025-01-22,2025-01-29,6.4,0.55,8.4,2024-5-16
Flat vista mar Boa Viagem,Recife,2234,2025-01-22,2025-01-29,7.0,0.1,8.5,2024-5-16
Vista EXPLENDIDA MAR duplex na cobertura ilha do amor Barra Home Stay,Recife,2678,2025-01-22,2025-01-29,19.5,0.65,None,2024-5-16
Beach Class Executive - Beira Mar Quádruplo,Recife,2973,2025-01-22,2025-01-29,4.2,0.0,None,2024-5-16
Rooftop #807 - O Melhor de Boa Viagem by Carpediem,Recife,2580,2025-01-22,2025-01-29,6.4,0.55,8.5,2024-5-16
Rooftop #605 - Suíte em Boa Viagem por Carpediem,Recife,2580,2025-01-22,2025-01-29,6.4,0.55,9.3,2024-5-16
Rooftop #108 - Suíte em Boa Viagem por Carpediem,Recife,2580,2025-01-22,2025-01-29,6.4,0.55,9.0,2024-5-16
Rooftop #706 - Suíte em Boa Viagem por Carpediem,Recife,2580,2025-01-22,2025-01-29,6.4,0.55,None,2024-5-16
Rooftop #1105 - Suíte em Recife por Carpediem,Recife,2580,2025-01-22,2025-01-29,6.4,0.55,None,2024-5-16
Apartamento ao lado da UFPE,Recife,1400,2025-01-22,2025-01-29,7.5,None,9.7,2024-5-16
Parque Shopping #2206 - Apartamento em Boa Viagem Housi por Carpediem,Recife,2512,2025-01-22,2025-01-29,3.5,0.9,None,2024-5-16
Flat 1203 BEIRA MAR no Barra Classic,Recife,2140,2025-01-22,2025-01-29,19.4,0.0,9.6,2024-5-16
Rooftop #1003 - Studio na Praia de Boa Viagem por Carpediem,Recife,2580,2025-01-22,2025-01-29,6.4,0.55,None,2024-5-16
Paiva Home Stay - Vista dos Sonhos,Recife,2101,2025-01-22,2025-01-29,19.7,0.0,8.5,2024-5-16
Rooftop #1306 - Apart em Boa Viagem Por Carpediem,Recife,2580,2025-01-22,2025-01-29,6.4,0.55,8.0,2024-5-16
Flat na Ilha do Leite Recife 1 quarto Metrópolis Localizado no coração do segundo Polo Médico do país OTH1703,Recife,1533,2025-01-22,2025-01-29,1.7,None,8.7,2024-5-16
Rooftop #107 - Suíte em Boa Viagem por Carpediem,Recife,2580,2025-01-22,2025-01-29,6.4,0.55,9.0,2024-5-16
Rooftop #501 - Suíte em Boa Viagem por Carpediem,Recife,2580,2025-01-22,2025-01-29,6.4,0.55,8.5,2024-5-16
Rooftop #806 - Apto em Boa Viagem por Carpediem,Recife,2580,2025-01-22,2025-01-29,6.4,0.55,9.5,2024-5-16
Parque Shopping #1304 - Apê conforto por Carpediem,Recife,2512,2025-01-22,2025-01-29,3.5,0.9,6.0,2024-5-16
Rooftop #1006 - Studio na Praia por Carpediem,Recife,2580,2025-01-22,2025-01-29,6.4,0.55,8.5,2024-5-16
RoofTop #405 - Suíte em Boa Viagem por Carpediem,Recife,2580,2025-01-22,2025-01-29,6.4,0.55,7.0,2024-5-16
Kitnet recife carnaval 2024,Recife,1487,2025-01-22,2025-01-29,6.3,2.7,4.0,2024-5-16
Edf: rubi,Recife,2678,2025-01-22,2025-01-29,1.5,None,10.0,2024-5-16
Rooftop #606 - Studio em Boa Viagem por Carpediem,Recife,2580,2025-01-22,2025-01-29,6.4,0.55,None,2024-5-16
Praia de jangada 103 - barra de jangada recife,Recife,1809,2025-01-22,2025-01-29,20.0,1.5,8.2,2024-5-16
Goldenland Home Service,Recife,2829,2025-01-22,2025-01-29,6.8,0.7,8.3,2024-5-16
Meu Cantinho,Recife,2079,2025-01-22,2025-01-29,5.1,None,4.0,2024-5-16
Apartamento 2 quartos 1km da Praia,Recife,3094,2025-01-22,2025-01-29,6.4,1.5,10.0,2024-5-16
Marbelo Pernambuco,Recife,1714,2025-01-22,2025-01-29,0.4,2.8,4.5,2024-5-16
Flat Super Luxo - Boa Viagem,Recife,3010,2025-01-22,2025-01-29,6.4,0.55,None,2024-5-16
Conforto e Localização,Recife,2142,2025-01-22,2025-01-29,8.9,None,4.0,2024-5-16
Casa no coração de Recife para Carnaval,Recife,2100,2025-01-22,2025-01-29,1.0,2.8,10.0,2024-5-16
Flat em Boa Viagem Rooftop 470 Conforto e Localização privilegiada,Recife,4536,2025-01-22,2025-01-29,6.4,0.55,9.4,2024-5-16
Transamerica Fit Recife- Flat mobiliado,Recife,2800,2025-01-22,2025-01-29,7.0,None,9.0,2024-5-16
Apartamento mobiliado e confortável em candeias,Recife,4522,2025-01-22,2025-01-29,16.8,0.0,9.5,2024-5-16
Casa poucos metros do mar Cabo de Sto Agostinho,Recife,2457,2025-01-22,2025-01-29,14.8,0.0,None,2024-5-16
Rooftop #504 - Suíte confortável na Praia de Boa Viagem por Carpediem,Recife,2580,2025-01-22,2025-01-29,6.4,0.55,5.0,2024-5-16
Apartamento rústico e aconchegante,Recife,910,2025-01-22,2025-01-29,3.2,None,None,2024-5-16
Apt candeias,Recife,1714,2025-01-22,2025-01-29,16.7,0.55,None,2024-5-16
Boa viagem vista mar 3qts,Recife,3500,2025-01-22,2025-01-29,8.5,0.45,9.0,2024-5-16
Rooftop 470 #607 - em Boa Viagem por Carpediem,Recife,2580,2025-01-22,2025-01-29,6.4,0.55,6.3,2024-5-16
FLATS ROSARINHO PRINCE SPRING,Recife,3318,2025-01-22,2025-01-29,3.1,None,1.0,2024-5-16
Lindo Apartamento Av. Boa Viagem. 2Qts. Cozinha completa,Recife,3479,2025-01-22,2025-01-29,4.0,0.1,10.0,2024-5-16
FLAT IMPERIAL SUITES Boa Viagem,Recife,1874,2025-01-22,2025-01-29,7.2,None,None,2024-5-16
Flat em Boa Viagem,Recife,4760,2025-01-22,2025-01-29,9.9,0.8,None,2024-5-16
EDF: RUBI 184,Recife,4123,2025-01-22,2025-01-29,1.5,None,8.0,2024-5-16
Paiva Home Stay Aptº temporada,Recife,3920,2025-01-22,2025-01-29,14.9,0.0,7.9,2024-5-16
Studio D'Roma em Boa Viagem,Recife,3780,2025-01-22,2025-01-29,7.7,0.6,8.5,2024-5-16
Flet dona anesia,Recife,4284,2025-01-22,2025-01-29,9.3,0.1,None,2024-5-16
Apartamento aconchegante em Candeias,Recife,4760,2025-01-22,2025-01-29,16.8,0.0,9.7,2024-5-16
Radisson Hotel ap 801,Recife,10115,2025-01-22,2025-01-29,5.7,0.15,None,2024-5-16
Flat boa viagem 1,Recife,3749,2025-01-22,2025-01-29,7.8,0.65,7.0,2024-5-16
Flat em Boa Viagem,Recife,4760,2025-01-22,2025-01-29,9.9,0.8,None,2024-5-16
Edf: RUBI,Recife,4284,2025-01-22,2025-01-29,1.5,None,None,2024-5-16
Clube Vita #703 - Aconchego em Boa Viagem by Carpediem,Recife,4905,2025-01-22,2025-01-29,6.6,1.8,None,2024-5-16
Novotel Recife Marina,Recife,8461,2025-01-22,2025-01-29,1.6,None,None,2024-5-16
CASA COMPACTA NO PRIVÊ COQUEIRAL COM GARAGEM,Recife,3570,2025-01-22,2025-01-29,17.4,1.1,None,2024-5-16
Apto Carnaval 2024 Ed Camilla,Recife,5600,2025-01-22,2025-01-29,4.8,None,None,2024-5-16
Flat Beira Mar,Recife,14000,2025-01-22,2025-01-29,4.1,0.0,None,2024-5-16
Apartamento Beira Mar em Recife,Recife,9450,2025-01-22,2025-01-29,14.1,0.5,10.0,2024-5-16
FLAT MARULHOS MURO ALTO 02 Estr Ac p Praia de Muro Alto e Camboa,Recife,7140,2025-01-22,2025-01-29,43.7,0.0,None,2024-5-16
BV Paradiso,Recife,10064,2025-01-22,2025-01-29,5.6,0.0,10.0,2024-5-16
Apto 3/4 Mobiliado em Recife Cond. CLUBE,Recife,9520,2025-01-22,2025-01-29,6.5,1.8,None,2024-5-16
Apartamento Beira Mar em Recife,Recife,9450,2025-01-22,2025-01-29,14.1,0.5,None,2024-5-16
apartamento,Recife,8033,2025-01-22,2025-01-29,10.1,None,None,2024-5-16
Apduplex,Recife,13388,2025-01-22,2025-01-29,8.5,0.15,None,2024-5-16
APTO mobiliado Candeias JBO/PE,Recife,619,2025-01-22,2025-01-29,18.1,1.2,8.0,2024-5-16
Apartamento suite na Avenida BoaViagem,Recife,1800,2025-01-22,2025-01-29,4.3,0.5,9.8,2024-5-16
Flat frente mar no Transamérica Beach Class International,Recife,2466,2025-01-22,2025-01-29,4.3,0.0,None,2024-5-16
Flat Paiva Home Stay,Recife,1701,2025-01-22,2025-01-29,18.9,0.0,7.3,2024-5-16
Pousada Joãozinho Caminhador,Recife,1260,2025-01-22,2025-01-29,11.6,0.25,6.0,2024-5-16
Flat Super Aconchegante na Jaqueira com WI-FI e sem taxas,Recife,1900,2025-01-22,2025-01-29,3.3,None,10.0,2024-5-16
Apart Hotel Marinas Tamandaré,Recife,958,2025-01-22,2025-01-29,4.8,None,1.0,2024-5-16
flatpaivahome bugan paiva,Recife,1886,2025-01-22,2025-01-29,19.6,0.7,None,2024-5-16
Flat na Ilha do Leite Recife 1 quarto Metrópolis Localizado no coração do segundo Polo Médico do país OTH1401,Recife,1533,2025-01-22,2025-01-29,1.7,None,7.7,2024-5-16
Apartamento Alice Tenório,Recife,1960,2025-01-22,2025-01-29,6.1,0.4,9.5,2024-5-16
Flat na Ilha do Leite Recife 1 quarto Metrópolis Localizado no coração do segundo Polo Médico do país OTH1603,Recife,1533,2025-01-22,2025-01-29,1.7,None,7.5,2024-5-16
Excelente flat em Setúbal Boa Viagem até 4 pessoas cercado por restaurantes e supermercados PM805,Recife,1918,2025-01-22,2025-01-29,9.6,0.4,8.6,2024-5-16
Apartamento/Flat Boa Viagem,Recife,2597,2025-01-22,2025-01-29,6.8,0.0,9.4,2024-5-16
Quarto INDISPONÍVEL NO PRESENTE,Recife,1418,2025-01-22,2025-01-29,4.5,0.15,1.0,2024-5-16
Flat incrível 2 qtos Beach class conselheiro,Recife,1915,2025-01-22,2025-01-29,7.7,0.25,None,2024-5-16
Flat na Ilha do Leite Recife 1 quarto Metrópolis Localizado no coração do segundo Polo Médico do país OTH1205,Recife,1533,2025-01-22,2025-01-29,1.7,None,6.8,2024-5-16
Hosts BR-Flat Fit Transamérica Boa Viagem s/ taxa,Recife,1971,2025-01-22,2025-01-29,7.0,0.65,8.6,2024-5-16
BOA VIAGEM PROX AO MAR,Recife,1785,2025-01-22,2025-01-29,8.9,0.45,8.5,2024-5-16
Hosts BR - Flats Frente Mar c/ Cozinha,Recife,1626,2025-01-22,2025-01-29,17.5,None,None,2024-5-16
Hosts BR - Estúdio em Boa Viagem(s/taxas),Recife,1684,2025-01-22,2025-01-29,7.8,0.9,7.9,2024-5-16
Flat em Boa Viagem,Recife,2673,2025-01-22,2025-01-29,7.0,0.7,None,2024-5-16
Excelente 3 Quartos Rua Navegantes em Boa Viagem No melhor local da praia SAL802,Recife,3570,2025-01-22,2025-01-29,6.1,0.15,9.1,2024-5-16
Mercure Navegantes Recife Hotel,Recife,2419,2025-01-22,2025-01-29,7.0,None,None,2024-5-16
apto na quadra do mar,Recife,2835,2025-01-22,2025-01-29,14.5,0.25,8.0,2024-5-16
Apto a beira-mar em Jaboatao dos Guararapes PE,Recife,2755,2025-01-22,2025-01-29,19.4,0.6,9.0,2024-5-16
Cosmeflats,Recife,2100,2025-01-22,2025-01-29,19.6,0.75,4.4,2024-5-16
Apt novíssimo Tamarineira,Recife,3780,2025-01-22,2025-01-29,4.1,None,10.0,2024-5-16
Flat no melhor lugar de boa viagem,Recife,4543,2025-01-22,2025-01-29,4.5,0.2,10.0,2024-5-16
Hostel da Socorro,Recife,2835,2025-01-22,2025-01-29,9.0,0.9,1.0,2024-5-16
Lindo apto à beira-mar Jaboatão dos Guararapes - PE,Recife,3754,2025-01-22,2025-01-29,16.6,0.5,7.0,2024-5-16
Incrivel apto em frente a Praia de Piedade PE,Recife,3847,2025-01-22,2025-01-29,13.2,0.0,6.0,2024-5-16
Aconchego Boa Viagem,Recife,4032,2025-01-22,2025-01-29,8.4,None,None,2024-5-16
Golden home service,Recife,7013,2025-01-22,2025-01-29,7.0,0.6,10.0,2024-5-16
RESERVA DO PAIVA - A MELHOR CASA PARA TEMPORADA,Recife,10121,2025-01-22,2025-01-29,26.6,0.0,8.4,2024-5-16
Cond Clube em Piedade noCarnaval,Recife,11246,2025-01-22,2025-01-29,15.7,1.0,None,2024-5-16
FLAT PRAIA DOS CARNEIROS / TAMANDARÉ 06 TÉRREO,Recife,14000,2025-01-22,2025-01-29,78.2,0.1,10.0,2024-5-16
