Hotel,Preço,Checkin,Checkout,Dist_centro,Dist_praia
Great Southern Hotel Sydney,711.0,2024-05-21,2024-05-22,1.3,None
Pullman Sydney Airport,949.0,2024-05-21,2024-05-22,6.7,None
The Langham Sydney,1.411,2024-05-21,2024-05-22,1.2,None
PodBed Coogee Beachside,113.0,2024-05-21,2024-05-22,6.9,350
Metro Hotel Marlow Sydney Central,663.0,2024-05-21,2024-05-22,1,None
Pullman Sydney Hyde Park,1.085,2024-05-21,2024-05-22,0.7,None
Mariners Court Hotel Sydney,571.0,2024-05-21,2024-05-22,1.2,2.9 km da praia
Quest Mascot,799.0,2024-05-21,2024-05-22,7,None
Aiden by Best Western Darling Harbour,738.0,2024-05-21,2024-05-22,1.1,None
Best Western Plus Hotel Stellar,643.0,2024-05-21,2024-05-22,0.8,None
The Lansdowne Hotel,102.0,2024-05-21,2024-05-22,2.1,None
Holiday Inn Darling Harbour an IHG Hotel,1.013,2024-05-21,2024-05-22,1,None
Stamford Plaza Sydney Airport Hotel & Conference Centre,915.0,2024-05-21,2024-05-22,7.1,None
Sunny Rooms Mascot,510.0,2024-05-21,2024-05-22,6.8,None
The Village Glebe,150.0,2024-05-21,2024-05-22,2.5,None
View Sydney,869.0,2024-05-21,2024-05-22,3.2,2.7 km da praia
Sofitel Sydney Wentworth,1.421,2024-05-21,2024-05-22,0.6,None
Kent Terrace,383.0,2024-05-21,2024-05-22,1,None
Amora Hotel Jamison Sydney,1.221,2024-05-21,2024-05-22,0.7,None
ibis Sydney Darling Harbour,711.0,2024-05-21,2024-05-22,1,None
Novotel Sydney City Centre,966.0,2024-05-21,2024-05-22,0.7,None
QT Sydney,1.411,2024-05-21,2024-05-22,150 m do centro,None
Hotel Hacienda,456.0,2024-05-21,2024-05-22,2.2,None
The Porter House Hotel Sydney - MGallery,1.221,2024-05-21,2024-05-22,450 m do centro,None
No 9 Springfield,594.0,2024-05-21,2024-05-22,1.4,2.8 km da praia
Novotel Sydney Darling Harbour,949.0,2024-05-21,2024-05-22,1.1,None
The Darling at The Star,1.217,2024-05-21,2024-05-22,1.3,None
