Hotel,Preço,Checkin,Checkout,Dist_centro,Dist_praia
3BDR IDEAL CENTRAL ATHENIAN APT,8.335,2024-05-21,2024-05-22,350 m do centro,None
Ethereal Athεns,820.0,2024-05-21,2024-05-22,250 m do centro,None
Athens Avenue Hotel,695.0,2024-05-21,2024-05-22,2.8,None
Mansion Hotel,280.0,2024-05-21,2024-05-22,1.3,None
Selina Athens Theatrou,214.0,2024-05-21,2024-05-22,1,None
Zeus Hostel,73.0,2024-05-21,2024-05-22,0.9,None
Polis Grand Hotel,825.0,2024-05-21,2024-05-22,1.2,None
Athenaeum K 29,500.0,2024-05-21,2024-05-22,1.4,None
The Athens Version Luxury Suites,850.0,2024-05-21,2024-05-22,1.1,None
MARGARITA'S SUITES,425.0,2024-05-21,2024-05-22,1.6,None
B4B Athens Signature Hotel,1.072,2024-05-21,2024-05-22,1.2,None
City Center Athenes rooms,125.0,2024-05-21,2024-05-22,1.4,None
Anagnostopoulou Elegance 97sqm in Kolonaki,495.0,2024-05-21,2024-05-22,0.6,None
NJV Athens Plaza,1.611,2024-05-21,2024-05-22,50 m do centro,None
Electra Metropolis,2.35,2024-05-21,2024-05-22,250 m do centro,None
Athens Psiri Hotel,355.0,2024-05-21,2024-05-22,1,None
Alva Athens Hotel,524.0,2024-05-21,2024-05-22,1.2,None
Athens Hub Hostel,184.0,2024-05-21,2024-05-22,0.8,None
Athens Tiare by Mage Hotels,767.0,2024-05-21,2024-05-22,1.1,None
GK Athens,556.0,2024-05-21,2024-05-22,200 m do centro,None
Triple A - 3 Squares - FREE Parking!,483.0,2024-05-21,2024-05-22,0.7,None
O&B Athens Boutique Hotel,794.0,2024-05-21,2024-05-22,1.2,None
The Gate by Zoia Living,433.0,2024-05-21,2024-05-22,1,None
KERAMOS Athens,472.0,2024-05-21,2024-05-22,1.9,None
Acropolis Select,872.0,2024-05-21,2024-05-22,1.3,None
Nafsika Hotel Athens Centre,278.0,2024-05-21,2024-05-22,1.5,None
B21Residence,560.0,2024-05-21,2024-05-22,1.5,None
Amalia Hotel Athens,1.222,2024-05-21,2024-05-22,200 m do centro,None
PAME House,945.0,2024-05-21,2024-05-22,0.9,None
Airio Athens Suites,525.0,2024-05-21,2024-05-22,0.8,None
PURE URBAN ACROPOLIS METRO PETRALONA,122.0,2024-05-21,2024-05-22,2.6,None
The Convo Athens Riviera,463.0,2024-05-21,2024-05-22,5.7,2 km da praia
Acropolis View Dream,73.0,2024-05-21,2024-05-22,1.9,None
Living Yard Acropolis,788.0,2024-05-21,2024-05-22,1,None
Dave Red Athens a member of Brown Hotels,605.0,2024-05-21,2024-05-22,1.3,None
The Historical Center Studios,161.0,2024-05-21,2024-05-22,1.3,None
The Athens Gate Hotel,1.375,2024-05-21,2024-05-22,0.8,None
Novotel Athens,825.0,2024-05-21,2024-05-22,1.8,None
Nema Hotel Athens,803.0,2024-05-21,2024-05-22,0.8,None
The Q Hotel,711.0,2024-05-21,2024-05-22,1.6,None
The Newel Metaxourgeio,634.0,2024-05-21,2024-05-22,1.7,None
Palladian Home,950.0,2024-05-21,2024-05-22,0.6,None
Liberal Gazi,165.0,2024-05-21,2024-05-22,2,None
Semeli Hotel,250.0,2024-05-21,2024-05-22,2.9,None
Living Yard Thissio,747.0,2024-05-21,2024-05-22,1.2,None
Kimon Hotel Athens,556.0,2024-05-21,2024-05-22,400 m do centro,None
PAME Wild,681.0,2024-05-21,2024-05-22,1.7,None
Triple A @ Trendy Psiri - Art & Nightlife,550.0,2024-05-21,2024-05-22,1,None
Athens Center Solomou rooms,96.0,2024-05-21,2024-05-22,1.4,None
Athens Comfort,528.0,2024-05-21,2024-05-22,1.8,None
Park Hotel,372.0,2024-05-21,2024-05-22,9.7,None
Acropolis Vision,1.009,2024-05-21,2024-05-22,1.4,None
Ruby Rooms Athens,518.0,2024-05-21,2024-05-22,2.1,None
Estia Boutique Apartments,835.0,2024-05-21,2024-05-22,1.8,None
Ilisia Hotel Athens,950.0,2024-05-21,2024-05-22,1.5,None
NYX Esperia Palace Hotel Athens by Leonardo Hotels,1.557,2024-05-21,2024-05-22,400 m do centro,None
Veno Apartments Goudi,333.0,2024-05-21,2024-05-22,2.9,None
Old Town Hall Suites and Apartments,443.0,2024-05-21,2024-05-22,1,None
Psiri Vibes,556.0,2024-05-21,2024-05-22,1.1,None
Ruby Rooms Kifisia,259.0,2024-05-21,2024-05-22,16.5,None
Athens One Smart Hotel,655.0,2024-05-21,2024-05-22,1.4,None
Candia Hotel,611.0,2024-05-21,2024-05-22,2,None
InnAthens,1.334,2024-05-21,2024-05-22,250 m do centro,None
Diros Hotel,500.0,2024-05-21,2024-05-22,1.3,None
Metis Urbane Living Spaces,817.0,2024-05-21,2024-05-22,300 m do centro,None
Philia Boutique Hotel,950.0,2024-05-21,2024-05-22,0.9,None
Regal Hotel Mitropoleos,456.0,2024-05-21,2024-05-22,500 m do centro,None
7ATHENS,446.0,2024-05-21,2024-05-22,1,None
Art Hotel Athens,550.0,2024-05-21,2024-05-22,1.5,None
14 Reasons Why Hotel Athens,1.035,2024-05-21,2024-05-22,0.9,None
Acropolis Hill Hotel,972.0,2024-05-21,2024-05-22,1.4,None
Belle Epoque Suites,940.0,2024-05-21,2024-05-22,450 m do centro,None
Hidden Athens,556.0,2024-05-21,2024-05-22,400 m do centro,None
Tins Hotel City - Athens,625.0,2024-05-21,2024-05-22,1.4,None
Dunlin Hotel,626.0,2024-05-21,2024-05-22,1.3,None
Spot Apart,603.0,2024-05-21,2024-05-22,1.2,None
Poseidon Athens Hotel,833.0,2024-05-21,2024-05-22,7,Beira-mar
City Centre Stylish rooms,144.0,2024-05-21,2024-05-22,1.6,None
Ciel Living Athens,1.0,2024-05-21,2024-05-22,0.5,None
Holiday Inn Athens Attica Av Airport W. an IHG Hotel,1.448,2024-05-21,2024-05-22,12.7,None
Facadoro Apartments,420.0,2024-05-21,2024-05-22,300 m do centro,None
Sea View Hotel,856.0,2024-05-21,2024-05-22,13.3,150
Herodion Hotel,1.278,2024-05-21,2024-05-22,1.1,None
athensdot,495.0,2024-05-21,2024-05-22,1,None
Hotel Achilleas,1.111,2024-05-21,2024-05-22,300 m do centro,None
Athens The L7 Str - Luxury Boutique Collection Hotel,1.228,2024-05-21,2024-05-22,1,None
FAV central flat in Athens,160.0,2024-05-21,2024-05-22,2,None
Olympion,400.0,2024-05-21,2024-05-22,9.1,None
Byronico Acropolis Apartment,228.0,2024-05-21,2024-05-22,1.2,None
Ioannis Apartments,380.0,2024-05-21,2024-05-22,1.1,None
NLH KERAMEIKOS - Neighborhood Lifestyle Hotels,993.0,2024-05-21,2024-05-22,1.3,None
PAREA Athens,732.0,2024-05-21,2024-05-22,0.9,None
Arcade Project Hi-end Apartments,722.0,2024-05-21,2024-05-22,500 m do centro,None
Arion Athens Hotel,1.084,2024-05-21,2024-05-22,0.9,None
Radisson Blu Park Hotel Athens,1.75,2024-05-21,2024-05-22,1.8,None
Athens Key Hotel Trademark Collection by Wyndham,1.542,2024-05-21,2024-05-22,1.2,None
Tropical Hotel,583.0,2024-05-21,2024-05-22,8,Beira-mar
Achillion Hotel,500.0,2024-05-21,2024-05-22,1.4,None
HOTEL HILL,495.0,2024-05-21,2024-05-22,9.5,None
M17 Studios & Suites in the Heart of Athens,556.0,2024-05-21,2024-05-22,0.9,None
NLH FIX | Neighborhood Lifestyle Hotels,889.0,2024-05-21,2024-05-22,1.3,None
Safestay Athens Monastiraki,123.0,2024-05-21,2024-05-22,0.9,None
Hotel @Syngrou Fix,522.0,2024-05-21,2024-05-22,1.6,None
L'Avventura Athens,935.0,2024-05-21,2024-05-22,1.1,None
Alekos Apartments 1 Νetflix,500.0,2024-05-21,2024-05-22,2.6,None
Dorian Inn - Sure Hotel Collection by Best Western,750.0,2024-05-21,2024-05-22,1.1,None
Athens Utopia Ermou,1.43,2024-05-21,2024-05-22,500 m do centro,None
Balasca Hotel,306.0,2024-05-21,2024-05-22,1.9,None
Kyria Boutique House,1.573,2024-05-21,2024-05-22,0.8,None
Xenophon Hotel,633.0,2024-05-21,2024-05-22,4.4,None
The Residence Christokopidou Hotel & Spa,1.183,2024-05-21,2024-05-22,1,None
Aura Apartment at Kolonaki,411.0,2024-05-21,2024-05-22,0.7,None
Hotel Fresh,1.325,2024-05-21,2024-05-22,1,None
Smart Apartments,333.0,2024-05-21,2024-05-22,0.6,None
KOYO Athens,597.0,2024-05-21,2024-05-22,1,None
Athenian Spirit,661.0,2024-05-21,2024-05-22,2.1,None
Praxitelous Luxury Suites,1.353,2024-05-21,2024-05-22,500 m do centro,None
Academy's Modern Apartments By Aesthetic & Luxurious Living,548.0,2024-05-21,2024-05-22,0.8,None
Athens Manor Houses,1.15,2024-05-21,2024-05-22,500 m do centro,None
Koniama Acropolis,863.0,2024-05-21,2024-05-22,1.5,None
Claridge Hotel,179.0,2024-05-21,2024-05-22,1.1,None
The Residence Aiolou Hotel & Spa,1.452,2024-05-21,2024-05-22,0.7,None
Art island house,340.0,2024-05-21,2024-05-22,1.6,None
Electra Palace Athens,2.478,2024-05-21,2024-05-22,350 m do centro,None
Amazon Hotel,1.299,2024-05-21,2024-05-22,300 m do centro,None
Grand Hyatt Athens,2.626,2024-05-21,2024-05-22,2.5,None
St George Lycabettus Lifestyle Hotel,1.626,2024-05-21,2024-05-22,0.8,None
Princeps De Cura (Suite),250.0,2024-05-21,2024-05-22,1.9,None
Marousi Cozy Apartment,574.0,2024-05-21,2024-05-22,9,None
Brown Kubic a member of Brown Hotels,907.0,2024-05-21,2024-05-22,1.4,None
Not Hotel,1.908,2024-05-21,2024-05-22,1.9,None
Athinaion Recreation Suites,778.0,2024-05-21,2024-05-22,2.6,None
Urban Stripes Athens,933.0,2024-05-21,2024-05-22,1.3,None
Moxy Athens City,1.345,2024-05-21,2024-05-22,1,None
Sparta Team Hotel,66.0,2024-05-21,2024-05-22,1.1,None
Celia Residence,326.0,2024-05-21,2024-05-22,7.3,250
24K Athena Suites,888.0,2024-05-21,2024-05-22,0.6,None
Bonnie Athens by Nin&Bau,950.0,2024-05-21,2024-05-22,1,None
A for Athens,1.611,2024-05-21,2024-05-22,0.8,None
Philippos Hotel,917.0,2024-05-21,2024-05-22,1.1,None
Hotel Lido,200.0,2024-05-21,2024-05-22,1.3,None
Acropolis View,314.0,2024-05-21,2024-05-22,3.2,None
Delice Hotel - Family Apartments,726.0,2024-05-21,2024-05-22,1.4,None
B4B Athens 365,940.0,2024-05-21,2024-05-22,2.3,None
La Maison Athenes,1.0,2024-05-21,2024-05-22,0.6,None
Beautiful City Suites,897.0,2024-05-21,2024-05-22,1,None
Bright Eco Studios,545.0,2024-05-21,2024-05-22,1.5,None
Dima Rooms And Apartments,218.0,2024-05-21,2024-05-22,1.5,None
WSD Baia Acropolis Hotel Apartment,319.0,2024-05-21,2024-05-22,2.1,None
Alter Athens,698.0,2024-05-21,2024-05-22,1.3,None
INOH HOTEL,200.0,2024-05-21,2024-05-22,3.1,None
5inAthens,667.0,2024-05-21,2024-05-22,450 m do centro,None
Hera Hotel,1.222,2024-05-21,2024-05-22,1.1,None
The Artist Athens,989.0,2024-05-21,2024-05-22,0.9,None
Art Suites Korai,583.0,2024-05-21,2024-05-22,1.4,None
Athens Green Apartments,728.0,2024-05-21,2024-05-22,1,None
Green Suites Boutique Hotel,1.261,2024-05-21,2024-05-22,5.2,None
47 Luxury Suites,821.0,2024-05-21,2024-05-22,2.3,None
ROH Suites,861.0,2024-05-21,2024-05-22,0.5,None
The Rooster's Egg,520.0,2024-05-21,2024-05-22,2.7,None
Zeos finest jacuzzi Suite,595.0,2024-05-21,2024-05-22,350 m do centro,None
Acro Urban Suites,1.04,2024-05-21,2024-05-22,1.3,None
MiraMe Athens Boutique Hotel-House of Gastronomy,1.375,2024-05-21,2024-05-22,1.2,None
Live in Athens PSYRRI Central Apartments,575.0,2024-05-21,2024-05-22,1,None
Divani Caravel,1.778,2024-05-21,2024-05-22,1.5,None
Divani Palace Acropolis,1.889,2024-05-21,2024-05-22,1.2,None
Comfort Stay Lofts,522.0,2024-05-21,2024-05-22,1.8,None
NLH MONASTIRAKI - Neighborhood Lifestyle Hotels,1.155,2024-05-21,2024-05-22,0.8,None
Priamos Hotel Erato,472.0,2024-05-21,2024-05-22,1.9,None
CITYLUXE Suites & Rooms,1.2,2024-05-21,2024-05-22,0.7,None
Rooster Suites,833.0,2024-05-21,2024-05-22,0.6,None
The Vault Athens,1.305,2024-05-21,2024-05-22,0.6,None
Private Central View rooms in apartment near to Acropolis Metro Station,228.0,2024-05-21,2024-05-22,1.1,None
LUX&EASY Signature Syggrou 234,990.0,2024-05-21,2024-05-22,3.5,None
Acropolis Stay,978.0,2024-05-21,2024-05-22,1.1,None
Athens Lights,600.0,2024-05-21,2024-05-22,1.1,None
Athens Marriott Hotel,1.917,2024-05-21,2024-05-22,5.1,1.7 km da praia
Bohemian Suites Athens,1.195,2024-05-21,2024-05-22,0.7,None
Cavallari Palace Hotel Suites,360.0,2024-05-21,2024-05-22,15.5,None
The Stanley,1.439,2024-05-21,2024-05-22,1.7,None
Athens Flair,1.427,2024-05-21,2024-05-22,0.8,None
Titania Hotel,1.95,2024-05-21,2024-05-22,0.9,None
2 BD Apt in KOLONAKI - 4 min away from Metro Panepistimio,889.0,2024-05-21,2024-05-22,0.8,None
The One Acropolis,1.861,2024-05-21,2024-05-22,0.9,None
Amarilia Hotel,889.0,2024-05-21,2024-05-22,16.7,100
Neoma,1.844,2024-05-21,2024-05-22,1.4,None
ROY Hotel,193.0,2024-05-21,2024-05-22,3.1,None
The Asprogeraka - self check-in rooms,256.0,2024-05-21,2024-05-22,3,None
Athos Hotel,1.278,2024-05-21,2024-05-22,350 m do centro,None
Athens Residence Apartments,831.0,2024-05-21,2024-05-22,1.5,None
The Gem Society Hotel,1.625,2024-05-21,2024-05-22,0.6,None
Athens City Hotel,306.0,2024-05-21,2024-05-22,3.6,None
athensvintage,585.0,2024-05-21,2024-05-22,0.9,None
COZY APT NEXT TO METRO AND CLOSE TO ACROPOLIS!,361.0,2024-05-21,2024-05-22,1.8,None
LUX&EASY Athens Downtown Apartments,789.0,2024-05-21,2024-05-22,4,None
Nur Aparthotel Athens,1.45,2024-05-21,2024-05-22,200 m do centro,None
Still Athens,800.0,2024-05-21,2024-05-22,0.7,None
Sweet greek memories B,451.0,2024-05-21,2024-05-22,1.6,None
The Newel Acropolis,1.168,2024-05-21,2024-05-22,1,None
Athens Delta Hotel,211.0,2024-05-21,2024-05-22,1.9,None
Artemision,194.0,2024-05-21,2024-05-22,1.2,None
Lida Hotel,308.0,2024-05-21,2024-05-22,14.6,None
LOOM ATHENS,1.035,2024-05-21,2024-05-22,1.9,None
Your address in Koukaki by Athenian Homes,472.0,2024-05-21,2024-05-22,1.4,None
Villa Brown Ermou a member of Brown Hotels,1.674,2024-05-21,2024-05-22,350 m do centro,None
Optimal Point,560.0,2024-05-21,2024-05-22,1.7,None
WSD Glory I Hotel Apartment,253.0,2024-05-21,2024-05-22,4.2,None
PDCenter (Museum),278.0,2024-05-21,2024-05-22,1.5,None
Urban Nest - Suites & Apartments,1.682,2024-05-21,2024-05-22,0.9,None
Divani Escape,1.345,2024-05-21,2024-05-22,16.8,200
Be My Guest Athens,900.0,2024-05-21,2024-05-22,1.6,None
Noho Apartments @ Akadimias,350.0,2024-05-21,2024-05-22,1.1,None
Phaedrus Living: City Center Executive Flat Stadiou,233.0,2024-05-21,2024-05-22,200 m do centro,None
Strefi Hill Suites,582.0,2024-05-21,2024-05-22,1.3,None
AthensOwl,968.0,2024-05-21,2024-05-22,1.8,None
MONO Lofts,861.0,2024-05-21,2024-05-22,1,None
St. Bjur Suites,1.019,2024-05-21,2024-05-22,0.8,None
BEAUTIFUL PEOPLE SUITES ATHENS ACROPOLIS VIEW,700.0,2024-05-21,2024-05-22,2.1,None
Acropolis View Rooftop Apartment Athens,972.0,2024-05-21,2024-05-22,1.1,None
Art Gallery Hotel,778.0,2024-05-21,2024-05-22,1.4,None
Vasi,1.552,2024-05-21,2024-05-22,0.8,None
Psyche & Eros Mythical Suites,581.0,2024-05-21,2024-05-22,1.8,None
Gatsby Athens,2.767,2024-05-21,2024-05-22,300 m do centro,None
Veggie Garden Athens B&B,372.0,2024-05-21,2024-05-22,8,2.3 km da praia
Sani Deluxe Suites - Monastiraki Square - Brand New,715.0,2024-05-21,2024-05-22,0.9,None
Filopappou Hill Suites by Athens Stay,688.0,2024-05-21,2024-05-22,2.2,None
Magnificent Riviera Residence,480.0,2024-05-21,2024-05-22,7.1,None
The Convo Syngrou Apartments,704.0,2024-05-21,2024-05-22,3.2,None
Athens Zafolia Hotel,1.05,2024-05-21,2024-05-22,1.8,None
Life Gallery Athens,788.0,2024-05-21,2024-05-22,18.3,None
ATHINAIDOS QUARTERS by K&K,1.08,2024-05-21,2024-05-22,0.5,None
Brown Acropol a member of Brown Hotels,1.288,2024-05-21,2024-05-22,1.1,None
athensotel,750.0,2024-05-21,2024-05-22,0.8,None
PAME Paradiso,920.0,2024-05-21,2024-05-22,1.1,None
Zoe Monastiraki,1.159,2024-05-21,2024-05-22,0.8,None
Exarchia House Project,788.0,2024-05-21,2024-05-22,1.4,None
Perianth Hotel,2.576,2024-05-21,2024-05-22,0.6,None
Earth Boutique Apartments,617.0,2024-05-21,2024-05-22,5.6,1.7 km da praia
Aeiphoria Suites & Rooms - Athens,578.0,2024-05-21,2024-05-22,1.1,None
Pi Athens,889.0,2024-05-21,2024-05-22,0.8,None
Enattica Suites,815.0,2024-05-21,2024-05-22,500 m do centro,None
Crowne Plaza Athens City Centre an IHG Hotel,1.988,2024-05-21,2024-05-22,1.8,None
Athens Studio Nemar,230.0,2024-05-21,2024-05-22,1.3,1.3 km da praia
Athens Tower Hotel by Palladian Hotels,1.35,2024-05-21,2024-05-22,0.8,None
Divani Apollon Palace & Thalasso,2.55,2024-05-21,2024-05-22,16.7,Beira-mar
WSD Luxury Stylish 1BD Apt near Marina & Beach,381.0,2024-05-21,2024-05-22,5.4,1.5 km da praia
Grecotel Pallas Athena,2.337,2024-05-21,2024-05-22,1,None
MEDLEY,1.441,2024-05-21,2024-05-22,0.9,None
Urban Tales,1.046,2024-05-21,2024-05-22,1.1,None
Vol.5,1.178,2024-05-21,2024-05-22,350 m do centro,None
Project 3 Urban Chic Hotel,1.866,2024-05-21,2024-05-22,0.6,None
Kreoli Suites Glyfada,695.0,2024-05-21,2024-05-22,11.6,350
Holiday Suites,1.611,2024-05-21,2024-05-22,1.7,None
Congo Palace,706.0,2024-05-21,2024-05-22,12.8,Beira-mar
The Pinnacle Athens,1.954,2024-05-21,2024-05-22,0.7,None
Skiathou 12 Contemporary Residences,560.0,2024-05-21,2024-05-22,9.9,2.4 km da praia
Apollo Palm Hotel,1.501,2024-05-21,2024-05-22,1.2,None
Elia Didotou City Apartments,875.0,2024-05-21,2024-05-22,0.9,None
New Hotel,2.481,2024-05-21,2024-05-22,250 m do centro,None
Apollo 2 bd jacuzzi suite,895.0,2024-05-21,2024-05-22,350 m do centro,None
Heritage Boutique Apartments,1.182,2024-05-21,2024-05-22,450 m do centro,None
Athens Mansion Luxury Suites,2.031,2024-05-21,2024-05-22,0.7,None
Noble Suites,1.629,2024-05-21,2024-05-22,1.2,None
The Dolli at Acropolis,4.523,2024-05-21,2024-05-22,0.6,None
Sir Athens,1.327,2024-05-21,2024-05-22,0.7,None
Vibrant in Pangrati by Athenian Homes,525.0,2024-05-21,2024-05-22,1.2,None
Iconic Athens Hostel,144.0,2024-05-21,2024-05-22,2.1,None
Art Suites Athens,695.0,2024-05-21,2024-05-22,2,None
Athens Near Acropolis,611.0,2024-05-21,2024-05-22,2,None
Best House Athens Central Flat Ithakis Str,233.0,2024-05-21,2024-05-22,2.6,None
Athens City Themis 2,474.0,2024-05-21,2024-05-22,2.1,None
City Center Modern Renovated Apartment,611.0,2024-05-21,2024-05-22,0.9,None
Nikis Penthouse,975.0,2024-05-21,2024-05-22,400 m do centro,None
PURE URBAN PREMIUM METRO AGIOS NIKOLAOS,133.0,2024-05-21,2024-05-22,3.1,None
Athenaeum Intercontinental an IHG Hotel,3.181,2024-05-21,2024-05-22,2.2,None
Cohort Koukaki,1.167,2024-05-21,2024-05-22,1.3,None
A Modern 2-bedroom Apartment near Areios Pagos,410.0,2024-05-21,2024-05-22,2.5,None
Athenian Gem,1.334,2024-05-21,2024-05-22,2.3,None
Monument,3.411,2024-05-21,2024-05-22,0.9,None
Athens Ivy Suites,2.467,2024-05-21,2024-05-22,300 m do centro,None
Athens City Themis 10,423.0,2024-05-21,2024-05-22,2.1,None
Acropolis Museum Boutique Hotel,1.723,2024-05-21,2024-05-22,1.2,None
Virginia's Boutique Apartments,823.0,2024-05-21,2024-05-22,0.9,None
Ruby ' s Best Acropolis Apartment,1.13,2024-05-21,2024-05-22,0.8,None
Athens Central Apartment,200.0,2024-05-21,2024-05-22,1.4,None
Del Taso 1850,833.0,2024-05-21,2024-05-22,1.7,None
Asty Luxury Apartments,1.111,2024-05-21,2024-05-22,0.8,None
Under the shade of Acropolis,722.0,2024-05-21,2024-05-22,1.1,None
Cama Luxury Suites,1.3,2024-05-21,2024-05-22,11.3,Beira-mar
Supreme Comfort Apartments by Athens Stay,500.0,2024-05-21,2024-05-22,2,None
Play Theatrou Athens,1.15,2024-05-21,2024-05-22,1,None
Acropolis Apartments,450.0,2024-05-21,2024-05-22,1.2,None
Athens Penthouse,900.0,2024-05-21,2024-05-22,0.8,None
Acropolis view under the stars!,667.0,2024-05-21,2024-05-22,2,None
Athenaeum Grand Hotel,695.0,2024-05-21,2024-05-22,2.3,None
Exarchia Artistic getaway for groups,767.0,2024-05-21,2024-05-22,1.3,None
Ulysses Apartments Monastiraki,852.0,2024-05-21,2024-05-22,0.7,None
Emmantina Hotel,1.0,2024-05-21,2024-05-22,12,Beira-mar
Lovely Apartment In Central Athens,528.0,2024-05-21,2024-05-22,1,None
Pines Hotel,776.0,2024-05-21,2024-05-22,13.7,None
Apartments Nina,611.0,2024-05-21,2024-05-22,13.6,None
Urban House Aiolou,485.0,2024-05-21,2024-05-22,0.9,None
Stylish Urban Apartment,645.0,2024-05-21,2024-05-22,1.4,None
Athens' Classiest Neighborhood Renovated Apartment,689.0,2024-05-21,2024-05-22,0.8,None
Gleaming apartments near Athens Metro Mall,589.0,2024-05-21,2024-05-22,3.9,None
The Stone Manor  Noho boutique Thissio,428.0,2024-05-21,2024-05-22,1.6,None
PURE URBAN METRO KATO PATISIA,117.0,2024-05-21,2024-05-22,4,None
The Foundry Suites,2.267,2024-05-21,2024-05-22,1.2,None
Quiet near subway and Acropolis 2 bedrooms apt,534.0,2024-05-21,2024-05-22,1.6,None
Dreamin Athens - Monastiraki Apartments,1.011,2024-05-21,2024-05-22,0.8,None
Spacious Suite w. huge balcony + Acropolis view,1.017,2024-05-21,2024-05-22,0.8,None
Apartment at Acropolis Museum,845.0,2024-05-21,2024-05-22,0.8,None
Sweet home in Athens,210.0,2024-05-21,2024-05-22,2.4,None
Athens Capital Center Hotel - MGallery Collection,5.557,2024-05-21,2024-05-22,150 m do centro,None
Hestia - Ippokratous 35,1.143,2024-05-21,2024-05-22,0.8,None
Nueva era @ Athens heart  Romvis apartments,511.0,2024-05-21,2024-05-22,450 m do centro,None
The cave,350.0,2024-05-21,2024-05-22,0.6,None
Blazer Suites Hotel,1.75,2024-05-21,2024-05-22,13.7,400
Modern design apartment near Acropolis,889.0,2024-05-21,2024-05-22,1.3,None
Thission Luxury Homes & SPA by K&K,1.511,2024-05-21,2024-05-22,1.2,None
Thisean Modern Suites By Athens Stay,800.0,2024-05-21,2024-05-22,4,None
The Newel Psychiko,1.844,2024-05-21,2024-05-22,4,None
Central Apartments in Psiri,816.0,2024-05-21,2024-05-22,1.1,None
Acharnis Kavallari Hotel Suites,183.0,2024-05-21,2024-05-22,16.1,None
Modern Rous Apartment in Athens,654.0,2024-05-21,2024-05-22,1.6,None
A cozy and cute pethouse Stathmos Larisis,248.0,2024-05-21,2024-05-22,2,None
Fabilicious Suites,806.0,2024-05-21,2024-05-22,1.4,None
Petaluda House 1,183.0,2024-05-21,2024-05-22,2.8,None
AthensWas Design Hotel,4.145,2024-05-21,2024-05-22,0.8,None
A.P. Acropolis View Apartments,1.0,2024-05-21,2024-05-22,1.1,None
Ammo Glyfada Residences,612.0,2024-05-21,2024-05-22,11,2.8 km da praia
Athenian Residences,1.576,2024-05-21,2024-05-22,1.1,None
More Athens Apartments,1.017,2024-05-21,2024-05-22,0.9,None
Brasil Suites Boutique Hotel,2.112,2024-05-21,2024-05-22,13.3,400
Acropolis Luxury Living,1.256,2024-05-21,2024-05-22,1.3,None
Monastiraki Place,450.0,2024-05-21,2024-05-22,0.9,None
Owls Nest,693.0,2024-05-21,2024-05-22,0.9,None
Acropolis View Party Roof Top Room - Noisy,178.0,2024-05-21,2024-05-22,1.9,None
Ermou funky lofts,833.0,2024-05-21,2024-05-22,0.5,None
Acropolis View 2-Bedroom Apt Minimal-Safari Vibe Big Balcony!,1.256,2024-05-21,2024-05-22,1.5,None
MEDLUXE BUSINESS Apartment,990.0,2024-05-21,2024-05-22,1.7,None
Ulysses Apartments Acropolis,1.151,2024-05-21,2024-05-22,1,None
Athenian Riviera Beach Apartment,667.0,2024-05-21,2024-05-22,7.5,150
Acropolis View,767.0,2024-05-21,2024-05-22,1.5,None
Monastiraki 3-4 Blue sky,350.0,2024-05-21,2024-05-22,0.9,None
Athens Plaka House,495.0,2024-05-21,2024-05-22,300 m do centro,None
Mythos Luxury Suites,1.834,2024-05-21,2024-05-22,0.7,None
Luxury apartment overlooking the citadel of Tsakas,1.1,2024-05-21,2024-05-22,1,None
NOHO Boutique Koukaki  premium living,378.0,2024-05-21,2024-05-22,1.5,None
Elia Ermou Athens Hotel,1.278,2024-05-21,2024-05-22,250 m do centro,None
Athens Luxury,1.193,2024-05-21,2024-05-22,2,None
Hotel Grande Bretagne a Luxury Collection Hotel Athens,5.946,2024-05-21,2024-05-22,50 m do centro,None
Hapimag Apartments Athens,1.307,2024-05-21,2024-05-22,450 m do centro,None
Wisdom Residence Luxury Apartments at Plaka,1.084,2024-05-21,2024-05-22,400 m do centro,None
A13 Athens,495.0,2024-05-21,2024-05-22,2.8,None
The Fountain Athens,1.553,2024-05-21,2024-05-22,0.9,None
Live in Athens PSYRRI Meet Me Here Apartments,961.0,2024-05-21,2024-05-22,1.1,None
Baloo Hostel,247.0,2024-05-21,2024-05-22,1.5,None
WSD Luxury Stylish 2Bedroom Apartment with Blacony 1' to Metro,454.0,2024-05-21,2024-05-22,3.5,None
Acropolis View Luxury Suite,1.05,2024-05-21,2024-05-22,1.6,None
Acropolis Grand Apartment,1.195,2024-05-21,2024-05-22,1.3,None
HOTEL_TIER,438.0,2024-05-21,2024-05-22,1.6,None
Starlight Residence,295.0,2024-05-21,2024-05-22,1.4,None
John‘s house,756.0,2024-05-21,2024-05-22,13.7,Beira-mar
Seaside apartment,540.0,2024-05-21,2024-05-22,6.4,450
ARIS in Kolonaki,663.0,2024-05-21,2024-05-22,0.6,None
Simple,158.0,2024-05-21,2024-05-22,2.2,None
Hotel Victory,306.0,2024-05-21,2024-05-22,2.2,None
Homely Stay @Acropolis Museum,778.0,2024-05-21,2024-05-22,1,None
Athens Woo Suites,2.613,2024-05-21,2024-05-22,500 m do centro,None
Nubian Hostel,193.0,2024-05-21,2024-05-22,1,None
Crown Syntagma Apartment,861.0,2024-05-21,2024-05-22,300 m do centro,None
Acropolis View - 500m Metro - At Historical Center,903.0,2024-05-21,2024-05-22,1.4,None
ROMANTIC DELUXE SVITE wise Jacuzzi and Sauna,928.0,2024-05-21,2024-05-22,1.8,None
