hotel,cidade,preço,checkin,checkout,dist_centro,dist_praia,avaliacao,qtnd_avaliacoes,data_extracao
Hotel Euro Suíte Recife Boa Viagem,Recife,1749,2024-07-1,2024-07-8,8.1,0.5,7.8,3102,2024-6-6
Kastel Manibu Recife - Boa Viagem,Recife,1604,2024-07-1,2024-07-8,4.7,0.25,8.4,4768,2024-6-6
Veja o mar no silêncio do centro! Hospede-se no quarto,Recife,428,2024-07-1,2024-07-8,0.2,2.5,8.3,3,2024-6-6
Aconchegante Apto de 1qt a 60mts do Consulado EUA,Recife,1011,2024-07-1,2024-07-8,1.2,None,9.7,36,2024-6-6
Transamerica Fit Recife,Recife,1751,2024-07-1,2024-07-8,7.0,0.65,8.3,5177,2024-6-6
Rede Andrade LG Inn,Recife,1409,2024-07-1,2024-07-8,6.8,0.25,7.7,8861,2024-6-6
Hotel Central,Recife,805,2024-07-1,2024-07-8,0.8,None,7.3,393,2024-6-6
Flat beach Class conselheiro Aguiar,Recife,945,2024-07-1,2024-07-8,7.7,None,9.7,3,2024-6-6
Rede Andrade Onda Mar,Recife,1139,2024-07-1,2024-07-8,7.8,0.3,7.0,7735,2024-6-6
BEACH CLASS INTERNACIONAL FRENTE MAR,Recife,1616,2024-07-1,2024-07-8,4.3,0.0,8.7,142,2024-6-6
Beach Class Convention By Hôm - Antigo Bristol Recife,Recife,2190,2024-07-1,2024-07-8,6.6,0.8,8.4,4421,2024-6-6
Flat Metropoles Ilha do Leite by Easy Home,Recife,1301,2024-07-1,2024-07-8,1.7,None,8.5,264,2024-6-6
Hotel Uzi Mar,Recife,1260,2024-07-1,2024-07-8,4.8,0.25,7.9,2452,2024-6-6
Casa Rosarinho 1- RECIFE - Quartos com Banheiros Exclusivos,Recife,490,2024-07-1,2024-07-8,3.2,None,9.2,388,2024-6-6
Lar Recife Olinda - Hostel com suites individuais,Recife,951,2024-07-1,2024-07-8,3.5,1.6,9.5,105,2024-6-6
Villa d'Oro Hotel,Recife,1885,2024-07-1,2024-07-8,1.4,2.9,8.6,1620,2024-6-6
Dublê Hotel - The Original,Recife,1484,2024-07-1,2024-07-8,6.5,0.15,7.7,1160,2024-6-6
Rede Andrade Plaza Recife,Recife,1233,2024-07-1,2024-07-8,0.6,3.0,7.0,5386,2024-6-6
Cosmopolitan Hostel,Recife,301,2024-07-1,2024-07-8,4.9,0.45,8.1,1285,2024-6-6
Hotel Uzi Praia,Recife,1134,2024-07-1,2024-07-8,4.7,0.25,8.2,1066,2024-6-6
TOLIVE One Housi Recife by Carpediem,Recife,1902,2024-07-1,2024-07-8,1.4,None,8.4,1205,2024-6-6
Vivaz Boutique Hotel,Recife,1300,2024-07-1,2024-07-8,4.2,0.15,7.9,1519,2024-6-6
Radisson Recife,Recife,3804,2024-07-1,2024-07-8,5.7,0.0,8.8,2323,2024-6-6
Flat em Boa Viagem,Recife,1190,2024-07-1,2024-07-8,9.4,0.1,7.4,1798,2024-6-6
Casa Recife Pousada,Recife,421,2024-07-1,2024-07-8,8.2,1.1,7.1,602,2024-6-6
Zili Pernambuco - Hostel Pousada,Recife,418,2024-07-1,2024-07-8,0.45,2.9,9.1,1313,2024-6-6
Bonito é ser Feliz,Recife,684,2024-07-1,2024-07-8,4.8,None,9.8,46,2024-6-6
Hotel Dan Inn Mar Piedade - Grande Recife,Recife,1953,2024-07-1,2024-07-8,13.7,0.0,7.8,2778,2024-6-6
Scenarium Hotel,Recife,1592,2024-07-1,2024-07-8,13.5,0.15,8.2,1231,2024-6-6
Boa Vista,Recife,833,2024-07-1,2024-07-8,1.2,None,9.1,33,2024-6-6
Hotel Atlante Plaza,Recife,3694,2024-07-1,2024-07-8,9.2,0.0,8.8,2921,2024-6-6
SUITE e QUARTOS -1 SUITE COM BANHEIRO PRIVATIVO - 2 QUARTOS DUPLOS COM BANHEIRO COMPARTILHADO,Recife,658,2024-07-1,2024-07-8,3.4,None,9.3,40,2024-6-6
Pousada Cecosne,Recife,1001,2024-07-1,2024-07-8,2.7,None,8.1,350,2024-6-6
Marante Plaza Hotel,Recife,3079,2024-07-1,2024-07-8,5.0,0.0,8.3,2420,2024-6-6
Flat Novo em Boa Viagem - Rooftop 470,Recife,1374,2024-07-1,2024-07-8,6.4,0.55,9.7,28,2024-6-6
Grand Mercure Recife Boa Viagem,Recife,2997,2024-07-1,2024-07-8,7.8,0.0,7.7,3479,2024-6-6
Mar Hotel Conventions,Recife,2917,2024-07-1,2024-07-8,8.7,0.5,8.6,2425,2024-6-6
BEIRA MAR- FLAT EXECUTIVE,Recife,2035,2024-07-1,2024-07-8,4.2,0.0,9.2,67,2024-6-6
APARTAMENTO PROXIMO À UFPE,Recife,1134,2024-07-1,2024-07-8,8.4,None,9.1,14,2024-6-6
Flat em Boa Viagem,Recife,1070,2024-07-1,2024-07-8,9.3,0.1,7.4,461,2024-6-6
Transamerica Prestige Recife - Boa Viagem,Recife,2702,2024-07-1,2024-07-8,4.3,0.0,8.4,1557,2024-6-6
Park Hotel,Recife,2316,2024-07-1,2024-07-8,8.6,0.1,8.5,5064,2024-6-6
Quarto Familiar Aconchegante,Recife,500,2024-07-1,2024-07-8,7.4,0.4,9.0,153,2024-6-6
ibis Recife Boa Viagem,Recife,1961,2024-07-1,2024-07-8,4.4,0.35,8.0,1676,2024-6-6
FLAT ILHA DO LEITE - DENTRO PÓLO MÉDICO,Recife,1531,2024-07-1,2024-07-8,1.7,None,9.7,71,2024-6-6
Beach Class Santa Maria by Easy Home,Recife,1476,2024-07-1,2024-07-8,6.3,0.6,8.0,141,2024-6-6
Apartamento Boa Viagem,Recife,1120,2024-07-1,2024-07-8,9.4,0.1,7.5,632,2024-6-6
Duplex,Recife,714,2024-07-1,2024-07-8,0.7,None,9.4,7,2024-6-6
Hotel Golden Park Recife Boa Viagem,Recife,2110,2024-07-1,2024-07-8,9.3,0.0,7.5,2655,2024-6-6
Qto Duplo próximo ao Shopping Recife,Recife,625,2024-07-1,2024-07-8,8.1,None,10.0,3,2024-6-6
Bianca Praia Hotel,Recife,1949,2024-07-1,2024-07-8,6.9,0.25,8.6,4079,2024-6-6
Apartamento Flat em Boa Viagem,Recife,1071,2024-07-1,2024-07-8,6.5,None,9.8,9,2024-6-6
Flat Beach Class Executive,Recife,1027,2024-07-1,2024-07-8,4.3,0.0,10.0,1,2024-6-6
Apartamento Beira Mar Boa Viagem,Recife,1336,2024-07-1,2024-07-8,5.7,0.5,8.5,13,2024-6-6
Hotel Luzeiros Recife,Recife,3500,2024-07-1,2024-07-8,3.6,0.1,9.0,4768,2024-6-6
APARTAMENTO à 50 m do MAR - Praia de BOA VIAGEM,Recife,882,2024-07-1,2024-07-8,5.8,0.25,8.8,91,2024-6-6
Flat Quarto e Sala 400 metros da Praia de Boa Viagem com Piscina Wi-Fi 220Mbps,Recife,1551,2024-07-1,2024-07-8,6.2,0.0,8.4,14,2024-6-6
Beach Class Ilha do Leite 2606,Recife,945,2024-07-1,2024-07-8,1.7,None,9.7,23,2024-6-6
Mercure Recife Navegantes,Recife,1716,2024-07-1,2024-07-8,7.0,0.1,7.2,476,2024-6-6
Betel Beach Flat Internacional Boa Viagem,Recife,1799,2024-07-1,2024-07-8,4.3,0.0,7.7,58,2024-6-6
Marante Executive Hotel,Recife,2421,2024-07-1,2024-07-8,4.4,0.4,8.8,3119,2024-6-6
Melhor localização em Boa Viagem!,Recife,989,2024-07-1,2024-07-8,6.3,0.9,9.5,17,2024-6-6
Boa Viagem Flat,Recife,1011,2024-07-1,2024-07-8,9.3,0.1,8.6,39,2024-6-6
BEACH CLASS RECIFE BOA VIAGEM FLAT ANDAR ALTO,Recife,1660,2024-07-1,2024-07-8,6.6,0.85,8.7,30,2024-6-6
Beira-mar Boa Viagem - Costa Vicentina by Bnb Flex,Recife,1625,2024-07-1,2024-07-8,10.2,0.5,8.5,873,2024-6-6
Costa Mar Recife by ACM,Recife,768,2024-07-1,2024-07-8,13.6,0.0,7.5,24,2024-6-6
02 Flat Golden Home Boa Viagem,Recife,1026,2024-07-1,2024-07-8,6.2,0.85,9.3,7,2024-6-6
Flat em Boa Viagem - perto da praia,Recife,1280,2024-07-1,2024-07-8,9.3,0.1,8.8,83,2024-6-6
Recanto Novo Horizonte,Recife,735,2024-07-1,2024-07-8,10.6,2.8,9.4,1176,2024-6-6
Apartamento em Boa Viagem,Recife,1050,2024-07-1,2024-07-8,7.9,1.1,9.7,24,2024-6-6
Hotel Boa Viagem Aeroporto,Recife,1260,2024-07-1,2024-07-8,8.7,0.4,7.2,2086,2024-6-6
Costa Mar Recife Hotel by Atlantica,Recife,2133,2024-07-1,2024-07-8,13.6,0.0,7.5,1785,2024-6-6
Meu abrigo,Recife,420,2024-07-1,2024-07-8,6.6,None,8.9,16,2024-6-6
Flat Beach Class Executive,Recife,1701,2024-07-1,2024-07-8,4.3,0.0,7.9,708,2024-6-6
Inter Hotel,Recife,1400,2024-07-1,2024-07-8,7.5,2.0,7.2,1095,2024-6-6
Flat - Navegantes Residence Hotel,Recife,1676,2024-07-1,2024-07-8,7.0,0.1,8.7,102,2024-6-6
Hotel Pousada Casuarinas,Recife,1365,2024-07-1,2024-07-8,4.8,0.5,8.8,796,2024-6-6
Apê Aconchegante,Recife,945,2024-07-1,2024-07-8,2.9,None,8.9,21,2024-6-6
Studio com varanda - Melhor localização do Arruda,Recife,682,2024-07-1,2024-07-8,3.6,None,9.0,1,2024-6-6
Lar Recife Olinda Praia 1 na Avenida Boa Viagem,Recife,934,2024-07-1,2024-07-8,4.1,0.0,9.0,23,2024-6-6
Hotel Jangadeiro,Recife,2800,2024-07-1,2024-07-8,6.9,0.5,7.8,2644,2024-6-6
Beach Class Exective apto 206,Recife,1184,2024-07-1,2024-07-8,4.2,0.1,8.4,16,2024-6-6
Hotel Enseada Boa Viagem,Recife,2202,2024-07-1,2024-07-8,8.6,0.6,7.5,2399,2024-6-6
Fity Hotel,Recife,2730,2024-07-1,2024-07-8,7.3,0.25,8.7,3792,2024-6-6
Oxen Hostel 2024,Recife,226,2024-07-1,2024-07-8,0.45,None,6.2,6,2024-6-6
Hospedaria,Recife,343,2024-07-1,2024-07-8,7.2,None,7.6,386,2024-6-6
Lindo apartamento a 350m do mar!,Recife,952,2024-07-1,2024-07-8,14.1,None,10.0,2,2024-6-6
NAVEGANTES HOTEL VISTA PARA MAR Boa Viagem,Recife,2077,2024-07-1,2024-07-8,7.0,0.1,9.0,69,2024-6-6
Beach Class International - Flat,Recife,1600,2024-07-1,2024-07-8,4.3,0.15,7.7,68,2024-6-6
Hotel Pousada da Praia,Recife,1225,2024-07-1,2024-07-8,4.4,0.15,7.1,432,2024-6-6
HY Apartments & Hotels,Recife,2558,2024-07-1,2024-07-8,4.3,0.0,8.0,4330,2024-6-6
Roomo Praia de Boa Viagem Residencial,Recife,2125,2024-07-1,2024-07-8,8.7,0.35,8.1,1169,2024-6-6
Excelentes Quartos com banheiros privativos,Recife,536,2024-07-1,2024-07-8,7.6,None,9.0,21,2024-6-6
Flat para 4 pessoas em Boa Viagem com Piscina Wifi 500Mbps localizado a 350 metros da Praia,Recife,1555,2024-07-1,2024-07-8,6.5,0.0,9.5,15,2024-6-6
Lindo Ap 403 Quadra do Mar c Garagem,Recife,980,2024-07-1,2024-07-8,9.5,0.1,9.7,42,2024-6-6
Beira-Mar Boa Viagem - Ivone Asfora by Bnb Flex,Recife,1695,2024-07-1,2024-07-8,9.5,0.5,8.6,211,2024-6-6
Flat mobiliado na rua da Aurora,Recife,900,2024-07-1,2024-07-8,0.45,None,7.2,5,2024-6-6
Beach Class Internacional apartamento,Recife,1779,2024-07-1,2024-07-8,4.3,0.1,7.9,275,2024-6-6
Silverton Paiva Experience - Flat,Recife,1960,2024-07-1,2024-07-8,19.6,0.75,8.2,3079,2024-6-6
NovoHotell Recife,Recife,2075,2024-07-1,2024-07-8,1.5,None,8.1,3695,2024-6-6
Hotel Enseada Aeroporto,Recife,1401,2024-07-1,2024-07-8,9.7,0.75,7.5,1855,2024-6-6
Hotel Nacional Inn Recife Aeroporto,Recife,1735,2024-07-1,2024-07-8,8.0,1.2,7.1,1622,2024-6-6
Rede Andrade Vela Branca,Recife,1135,2024-07-1,2024-07-8,8.3,0.35,6.6,777,2024-6-6
FLAT BEIRA MAR - BEACH CLASS EXECUTIVE,Recife,2843,2024-07-1,2024-07-8,4.2,0.0,9.1,45,2024-6-6
Espaço Alternativo,Recife,490,2024-07-1,2024-07-8,2.5,2.6,7.9,28,2024-6-6
Charming 1-BR Apartment in Boa Viagem - with Ocean View,Recife,1495,2024-07-1,2024-07-8,4.1,0.0,9.9,20,2024-6-6
Apartamento Boa Viagem,Recife,945,2024-07-1,2024-07-8,8.7,0.2,9.0,53,2024-6-6
FLAT BOA VIAGEM PRÓXIMO A PRAIA,Recife,1393,2024-07-1,2024-07-8,6.6,0.4,9.5,51,2024-6-6
Eco Flat Recife - Vista ao Mar de Boa Viagem,Recife,2135,2024-07-1,2024-07-8,7.0,0.1,9.8,13,2024-6-6
Apartamento Costa Azul,Recife,1250,2024-07-1,2024-07-8,7.3,0.25,9.5,8,2024-6-6
Aram Beach Boa Viagem,Recife,1720,2024-07-1,2024-07-8,8.2,0.1,7.6,3643,2024-6-6
Minha Casa Seu Hostel,Recife,490,2024-07-1,2024-07-8,2.8,None,8.6,68,2024-6-6
Sun Smart Hotel,Recife,1191,2024-07-1,2024-07-8,3.4,0.85,7.6,1276,2024-6-6
Bugan Recife Boa Viagem Hotel - by Atlantica,Recife,4757,2024-07-1,2024-07-8,8.3,0.35,9.1,2588,2024-6-6
Beach Class Excelsior,Recife,1575,2024-07-1,2024-07-8,3.3,0.1,8.5,32,2024-6-6
Flat Amplo em Boa Viagem,Recife,945,2024-07-1,2024-07-8,7.7,0.5,7.1,44,2024-6-6
ibis budget Recife Jaboatão,Recife,1405,2024-07-1,2024-07-8,12.7,0.0,8.4,2077,2024-6-6
Studio Piedade,Recife,718,2024-07-1,2024-07-8,14.9,0.65,7.7,604,2024-6-6
Flat Versatti - Próximo Real Hospital Port e Pólo Médico Ilha do Leite,Recife,1206,2024-07-1,2024-07-8,4.3,0.2,10.0,1,2024-6-6
Espaço jeito de casa.,Recife,756,2024-07-1,2024-07-8,6.3,0.35,9.7,3,2024-6-6
Apart Hotel Navegantes Boa Viagem,Recife,1398,2024-07-1,2024-07-8,7.0,0.1,8.6,48,2024-6-6
Hostel Recife,Recife,230,2024-07-1,2024-07-8,0.45,None,None,None,2024-6-6
Beach Class Ilha Do Leite 3206,Recife,1008,2024-07-1,2024-07-8,1.7,None,10.0,3,2024-6-6
Conforto e Estilo no Beach Class Santa Maria,Recife,864,2024-07-1,2024-07-8,6.3,0.6,7.3,83,2024-6-6
Flat Recife/Paiva Beira Mar Frente p/ Ilha do Amor,Recife,1187,2024-07-1,2024-07-8,19.2,0.0,9.1,48,2024-6-6
Sossego com excelente localização em Boa Viagem,Recife,943,2024-07-1,2024-07-8,6.3,0.9,8.3,49,2024-6-6
Studio Boa Viagem,Recife,882,2024-07-1,2024-07-8,8.3,0.85,6.8,550,2024-6-6
Golden Shopping Home Service - Boa Viagem- Apt608,Recife,1260,2024-07-1,2024-07-8,7.8,0.9,8.9,19,2024-6-6
Marbelo Pernambuco Hostel,Recife,445,2024-07-1,2024-07-8,0.4,2.8,8.5,2,2024-6-6
Pousada Nordestina,Recife,1190,2024-07-1,2024-07-8,14.1,0.2,7.3,253,2024-6-6
Boa Viagem Flat Recife 50 mts do MAR ! Portaria 24hs,Recife,1330,2024-07-1,2024-07-8,9.3,0.5,8.3,80,2024-6-6
Lindo Ap 1102 Vista do Mar c Garagem,Recife,1260,2024-07-1,2024-07-8,9.3,0.1,9.8,27,2024-6-6
Apartamento em Hotel Beira Mar de Boa Viagem,Recife,3112,2024-07-1,2024-07-8,5.7,0.0,8.6,57,2024-6-6
Flat Studio Parque Amorim,Recife,1190,2024-07-1,2024-07-8,1.4,None,8.9,39,2024-6-6
Flat luxo Boa Viagem Rooftop 470,Recife,1890,2024-07-1,2024-07-8,6.4,0.55,9.8,17,2024-6-6
Apartamento próximo ao aeroporto e praia,Recife,809,2024-07-1,2024-07-8,9.0,0.9,5.3,3,2024-6-6
Flat confortavel,Recife,1338,2024-07-1,2024-07-8,7.9,None,None,None,2024-6-6
Apt. para Família - Completo em Recife Boa Viagem - 3 qts - p/ 6 pessoas - 300m da praia,Recife,1785,2024-07-1,2024-07-8,8.5,0.45,9.0,79,2024-6-6
Reef Hostel & Pousada,Recife,364,2024-07-1,2024-07-8,1.3,None,7.6,966,2024-6-6
Hotel Veraneio,Recife,1750,2024-07-1,2024-07-8,8.7,1.8,7.3,1945,2024-6-6
Flat de luxo a beira mar,Recife,1339,2024-07-1,2024-07-8,4.2,0.0,9.4,5,2024-6-6
Apartamento - Ed Jatiuca,Recife,980,2024-07-1,2024-07-8,14.0,0.0,8.9,81,2024-6-6
Sonho dos golfinhos,Recife,739,2024-07-1,2024-07-8,38.9,1.1,9.4,14,2024-6-6
Flat Beach Class Internacional,Recife,1928,2024-07-1,2024-07-8,4.3,0.0,8.3,84,2024-6-6
Casa de Maria Suítes,Recife,1253,2024-07-1,2024-07-8,14.8,0.15,9.3,44,2024-6-6
Lindo Ap 101 Quadra do Mar c Garagem,Recife,1120,2024-07-1,2024-07-8,9.5,0.1,9.7,53,2024-6-6
Duplex,Recife,714,2024-07-1,2024-07-8,0.7,None,None,None,2024-6-6
Betel Flat Executive Praia Boa Viagem,Recife,2093,2024-07-1,2024-07-8,4.2,0.0,6.8,11,2024-6-6
Flat Gildo Vilaça,Recife,1648,2024-07-1,2024-07-8,3.4,None,8.9,392,2024-6-6
POUSADA BRASIL RECIFE,Recife,350,2024-07-1,2024-07-8,7.6,3.0,5.2,92,2024-6-6
Pousada Solar do Lazer,Recife,324,2024-07-1,2024-07-8,0.5,None,6.0,3,2024-6-6
Recife Centro Apartamento,Recife,1260,2024-07-1,2024-07-8,0.5,2.9,8.6,149,2024-6-6
Excelente flat em Setúbal Boa Viagem até 4 pessoas cercado por restaurantes e supermercados PM802,Recife,1624,2024-07-1,2024-07-8,9.6,0.4,9.2,5,2024-6-6
Quarto em condomínio beira-mar,Recife,1680,2024-07-1,2024-07-8,5.7,0.15,8.3,10,2024-6-6
Rede Andrade Navegantes,Recife,1439,2024-07-1,2024-07-8,6.7,0.1,7.2,1011,2024-6-6
Lindo apartamento na beira-mar de Boa Viagem,Recife,1260,2024-07-1,2024-07-8,4.7,0.0,9.4,9,2024-6-6
Flat 26º andar com vista para o mar- Próximo ao shopping e à praia,Recife,1155,2024-07-1,2024-07-8,7.8,0.9,9.5,68,2024-6-6
Espaço do Bem Recife,Recife,490,2024-07-1,2024-07-8,2.4,2.6,9.5,84,2024-6-6
O melhor e mais completo de boa viagem,Recife,1280,2024-07-1,2024-07-8,7.3,0.25,9.0,9,2024-6-6
Edf. Costa do Rio,Recife,1190,2024-07-1,2024-07-8,10.8,0.7,8.4,171,2024-6-6
Suite aconchegante na Torre,Recife,882,2024-07-1,2024-07-8,3.5,None,9.6,9,2024-6-6
RESERVA DO PAIVA - A MELHOR CASA PARA TEMPORADA,Recife,7808,2024-07-1,2024-07-8,26.6,0.0,8.4,13,2024-6-6
PEQUENO QUARTO SIMPLES individual  com VENTILADOR,Recife,647,2024-07-1,2024-07-8,1.6,None,10.0,4,2024-6-6
Pousada Beira Mar,Recife,599,2024-07-1,2024-07-8,9.1,0.35,6.1,713,2024-6-6
Stay Residence - CASA COMPARTILHADA,Recife,483,2024-07-1,2024-07-8,1.0,None,6.6,21,2024-6-6
Apt aconchegante e central,Recife,643,2024-07-1,2024-07-8,1.4,None,None,None,2024-6-6
Hotel Pousada da Praça,Recife,1120,2024-07-1,2024-07-8,8.7,0.0,7.3,464,2024-6-6
Studio Aurora - Recife,Recife,1130,2024-07-1,2024-07-8,0.5,2.9,8.7,19,2024-6-6
Studio 51 residence,Recife,755,2024-07-1,2024-07-8,15.5,0.1,7.9,398,2024-6-6
Kitnet na Boa Vista Recife - 508,Recife,1279,2024-07-1,2024-07-8,1.2,None,9.1,60,2024-6-6
Fit Hostel,Recife,343,2024-07-1,2024-07-8,5.8,0.25,8.3,510,2024-6-6
Piratas do Sol Hostel,Recife,364,2024-07-1,2024-07-8,8.4,0.5,7.8,417,2024-6-6
Albergue Cultural São Salomão,Recife,560,2024-07-1,2024-07-8,8.5,None,8.8,159,2024-6-6
Studio Prime Designer Recife,Recife,1369,2024-07-1,2024-07-8,2.0,2.8,10.0,1,2024-6-6
Studio novo e equipado em Boa Viagem Rooftop #1004,Recife,1987,2024-07-1,2024-07-8,6.4,0.55,8.7,3,2024-6-6
Beach Class Convention - Boa Viagem,Recife,1666,2024-07-1,2024-07-8,6.6,0.8,8.7,20,2024-6-6
Navegantes apartamento,Recife,1190,2024-07-1,2024-07-8,7.0,0.5,7.5,82,2024-6-6
Espaço inteiro a beira mar,Recife,1428,2024-07-1,2024-07-8,7.0,None,None,None,2024-6-6
Cantinho especial,Recife,784,2024-07-1,2024-07-8,8.5,None,8.6,21,2024-6-6
Rooftop #608 - Flat em Boa Viagem por Carpediem,Recife,1987,2024-07-1,2024-07-8,6.4,None,None,None,2024-6-6
Casa da Esquina Pousada,Recife,479,2024-07-1,2024-07-8,9.4,1.1,6.7,930,2024-6-6
Apartamento 3 quartos completos 3 Banheiros,Recife,3159,2024-07-1,2024-07-8,8.5,0.6,10.0,7,2024-6-6
Muro Alto Condomínio Clube - Flat,Recife,1570,2024-07-1,2024-07-8,45.5,1.2,9.3,11,2024-6-6
Hosts BR - Studio Funcional em Boa Viagem(s/taxas),Recife,1553,2024-07-1,2024-07-8,6.2,0.85,8.7,42,2024-6-6
Rio Park Ave Sea View One - By TRH Invest,Recife,2553,2024-07-1,2024-07-8,12.1,0.5,10.0,7,2024-6-6
Aconchegante apartamento para locação de diárias *NOVO*,Recife,1073,2024-07-1,2024-07-8,14.9,0.2,9.1,65,2024-6-6
Rooftop.470 Recife by Carpediem,Recife,1987,2024-07-1,2024-07-8,6.4,0.55,7.8,27,2024-6-6
Flat em Boa Viagem - Edifício Rooftop 470,Recife,1686,2024-07-1,2024-07-8,6.4,0.55,9.5,39,2024-6-6
Apto em boa viagem novo e lindo,Recife,1386,2024-07-1,2024-07-8,10.0,None,10.0,3,2024-6-6
Gira Arte Hostel,Recife,770,2024-07-1,2024-07-8,4.3,None,8.7,52,2024-6-6
Boa Viagem - FLAT ROOFTOP 470 - NOVO,Recife,2470,2024-07-1,2024-07-8,6.4,0.55,9.9,24,2024-6-6
Apart Hotel Beach Class HÔM - 1902,Recife,1809,2024-07-1,2024-07-8,6.6,None,10.0,2,2024-6-6
quintal293,Recife,1386,2024-07-1,2024-07-8,0.4,2.2,9.9,9,2024-6-6
Motel Tijuca,Recife,680,2024-07-1,2024-07-8,16.5,None,None,None,2024-6-6
Studio Novo em Boa Viagem Recife Proximo Aeroporto,Recife,1435,2024-07-1,2024-07-8,6.4,0.55,None,None,2024-6-6
Golden Beach Flat Recife,Recife,1540,2024-07-1,2024-07-8,14.2,0.0,7.9,79,2024-6-6
Flat de luxo Rooftop 201,Recife,2527,2024-07-1,2024-07-8,6.4,0.55,9.7,9,2024-6-6
Apartamento mobiliado e confortável em candeias,Recife,1690,2024-07-1,2024-07-8,16.8,0.0,9.5,132,2024-6-6
Flats de Luxo by BnbFlex - Costa Vicentina,Recife,1806,2024-07-1,2024-07-8,10.2,0.1,8.3,10,2024-6-6
2906 Cobertura Beira Mar Av Boa Viagem,Recife,2443,2024-07-1,2024-07-8,5.7,0.0,9.3,39,2024-6-6
Betel Beach Flat Boa Viagem,Recife,1799,2024-07-1,2024-07-8,4.3,0.0,7.8,81,2024-6-6
Beira mar Flat Golden Beach Piedade,Recife,1309,2024-07-1,2024-07-8,14.3,0.0,9.3,15,2024-6-6
Flat Beira Mar Beach Class,Recife,1747,2024-07-1,2024-07-8,4.3,0.1,6.8,4,2024-6-6
Apartamento tipo Flat em Boa viagem com serviços inclusos,Recife,983,2024-07-1,2024-07-8,9.7,0.25,6.4,143,2024-6-6
Meu flat no coração de Recife,Recife,1411,2024-07-1,2024-07-8,3.5,0.9,10.0,4,2024-6-6
Apt Novo 500m da Praia de Piedade,Recife,1004,2024-07-1,2024-07-8,15.4,None,None,None,2024-6-6
CASA COM PISCINA À BEIRA MAR.,Recife,3315,2024-07-1,2024-07-8,3.7,0.0,8.7,7,2024-6-6
Lindo FLAT no melhor lugar de Candeias 50 m praia,Recife,1487,2024-07-1,2024-07-8,15.9,0.0,9.1,58,2024-6-6
Apartamento 3 quartos em frente ao Mar,Recife,1253,2024-07-1,2024-07-8,13.8,0.0,8.8,78,2024-6-6
Beach Class Executive,Recife,1983,2024-07-1,2024-07-8,4.3,0.5,8.8,26,2024-6-6
Paiva Home Stay - Bugan Paiva by Flatbpaiva,Recife,1830,2024-07-1,2024-07-8,19.6,0.0,8.7,66,2024-6-6
APARTAMENTO com vista para o Mar a 150 metros da Praia,Recife,1890,2024-07-1,2024-07-8,4.5,0.0,8.9,22,2024-6-6
LOFT PREMIUM Boa Viagem 20 andar,Recife,2005,2024-07-1,2024-07-8,8.7,0.35,8.3,62,2024-6-6
Flat Refugio! Vista deslumbrante! Frente-mar,Recife,1334,2024-07-1,2024-07-8,14.3,0.0,8.2,5,2024-6-6
Flat em Boa Viagem apto 703 - Rooftop 470,Recife,1343,2024-07-1,2024-07-8,6.4,0.55,9.4,19,2024-6-6
FLAT EM BOA VIAGEM,Recife,1487,2024-07-1,2024-07-8,6.6,0.5,8.1,34,2024-6-6
Apartamento aconchegante em Candeias,Recife,1529,2024-07-1,2024-07-8,16.8,0.0,9.7,13,2024-6-6
03 Flat Golden Home Boa Viagem,Recife,1112,2024-07-1,2024-07-8,6.2,None,10.0,1,2024-6-6
IAA's - Apartamentos beira-mar em Pernambuco,Recife,1618,2024-07-1,2024-07-8,9.5,0.0,None,None,2024-6-6
Hosts BR - Flat Beach Class Boa Viagem (sem taxas),Recife,1997,2024-07-1,2024-07-8,6.6,0.8,8.9,14,2024-6-6
Apartamento três quartos no centro do Recife,Recife,809,2024-07-1,2024-07-8,0.2,None,9.0,1,2024-6-6
Apto 3 quartos Beira Mar Prox de Recife,Recife,1400,2024-07-1,2024-07-8,16.4,0.0,8.2,113,2024-6-6
BOA VIAGEM FLAT 106,Recife,1720,2024-07-1,2024-07-8,6.8,0.1,7.9,38,2024-6-6
Flat Golden Beach em Piedade,Recife,1400,2024-07-1,2024-07-8,14.3,0.5,6.8,49,2024-6-6
Apartamento aconchegante no centro,Recife,876,2024-07-1,2024-07-8,0.3,None,None,None,2024-6-6
Apartamento com vista para o Mar e Piscina na cobertura,Recife,1890,2024-07-1,2024-07-8,4.5,0.0,9.0,21,2024-6-6
Flat em Recife a beira-mar de Boa Viagem,Recife,1566,2024-07-1,2024-07-8,4.7,0.0,7.6,26,2024-6-6
Luxuoso Quarto E Sala Mobiliado,Recife,1420,2024-07-1,2024-07-8,4.1,0.0,8.8,26,2024-6-6
Flat Luxo Completo em Boa Viagem junto ao Shopping,Recife,1339,2024-07-1,2024-07-8,7.8,0.9,9.2,66,2024-6-6
Kitnet na Boa Vista Recife - 1203,Recife,1279,2024-07-1,2024-07-8,1.2,None,9.5,33,2024-6-6
Beira Mar com Café da Manhã flatbeiramarrecife,Recife,1470,2024-07-1,2024-07-8,19.3,0.6,9.3,9,2024-6-6
Flat completo e aconchegante,Recife,1114,2024-07-1,2024-07-8,4.0,None,10.0,1,2024-6-6
Flat a 100 metros da praia - Bairro de Boa Viagem,Recife,1001,2024-07-1,2024-07-8,10.2,None,None,None,2024-6-6
